;2010;2011;2012;2013;2014;2015;2016;2017;2018
ARGENTINA;2,51;2,51;0,00;0,00;0,00;0,00;1,66;7,60;7,60
BRAZIL;4,77;4,16;4,16;4,16;4,16;1,66;1,66;1,66;1,66
CHILE;8,20;7,60;6,99;6,99;6,99;6,99;6,99;6,99;6,99
CHINA;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66
COLOMBIA;4,16;4,16;4,16;4,16;4,16;4,16;4,16;4,16;4,16
EGYPT;8,80;8,20;5,09;1,66;1,66;1,66;1,66;4,16;4,16
INDIA;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66
INDIA DOMESTIC;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66
INDONESIA;6,99;4,16;4,16;4,16;4,16;4,16;4,16;4,16;4,16
MALAYSIA;1,66;1,66;1,66;1,66;4,16;4,16;4,16;4,16;4,16
MEXICO;6,99;6,99;6,99;6,99;6,99;6,99;6,99;6,99;6,99
PAKISTAN;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66
PERU;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00;10,00
PHILIPPINES;1,66;1,66;1,66;1,66;4,49;4,49;4,49;4,49;4,49
RUSSIA;5,37;5,97;6,57;7,17;7,17;7,17;6,57;5,97;5,97
SOUTH AFRICA;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66
THAILAND;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66;1,66
TURKEY ;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49;4,49
